Frame Rate:,29.9700000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
296,00:00:09.877,0.03734423676012461,0.03430685358255452,0.07192367601246107,0.005802180685358255
297,00:00:09.910,0.02306593977154725,0.02149532710280374,0.04497663551401869,0.0027258566978193145
298,00:00:09.943,0.039628764278296987,0.035981308411214954,0.06943146417445482,0.013473520249221185
299,00:00:09.977,0.006165628245067497,0.007087227414330218,0.011409657320872273,0.0
300,00:00:10.010,0.026064382139148495,0.026401869158878506,0.044003115264797506,0.00778816199376947
301,00:00:10.043,0.04173156801661474,0.03718847352024922,0.07955607476635514,0.008450155763239875
302,00:00:10.077,0.023688992731048807,0.02048286604361371,0.04750778816199377,0.003076323987538941
303,00:00:10.110,0.03342419522326064,0.0344626168224299,0.06055295950155763,0.005257009345794392
304,00:00:10.143,0.03672118380062305,0.03263239875389408,0.07745327102803738,7.788161993769471e-05
305,00:00:10.177,0.0095404984423676,0.011799065420560747,0.015654205607476636,0.0011682242990654205
306,00:00:10.210,0.03600726895119419,0.035046728971962614,0.048909657320872275,0.024065420560747664
307,00:00:10.244,0.04008307372793354,0.03520249221183801,0.06616043613707165,0.018886292834890964
308,00:00:10.277,0.01431723779854621,0.015848909657320873,0.027102803738317756,0.0
309,00:00:10.310,0.032191069574247146,0.030023364485981308,0.06055295950155763,0.005996884735202492
310,00:00:10.344,0.031386292834890965,0.02706386292834891,0.06503115264797507,0.0020638629283489095
311,00:00:10.377,0.007554517133956387,0.007982866043613706,0.014213395638629283,0.00046728971962616824
312,00:00:10.410,0.02675233644859813,0.025038940809968848,0.04840342679127726,0.0068146417445482865
313,00:00:10.444,0.036526479750778815,0.03352803738317757,0.06386292834890965,0.01218847352024922
314,00:00:10.477,0.050350467289719626,0.05556853582554517,0.06962616822429907,0.025856697819314642
315,00:00:10.511,0.036292834890965735,0.04524922118380062,0.055218068535825546,0.008411214953271028
316,00:00:10.544,0.02607736240913811,0.026596573208722742,0.05163551401869159,0.0
317,00:00:10.577,0.010345275181723781,0.01382398753894081,0.01721183800623053,0.0
318,00:00:10.611,0.022676531671858773,0.01966510903426791,0.04104361370716511,0.007320872274143302
319,00:00:10.644,0.0386552440290758,0.046222741433021804,0.06658878504672897,0.0031542056074766356
320,00:00:10.677,0.032995846313603326,0.03578660436137072,0.0617601246105919,0.001440809968847352
321,00:00:10.711,0.04145898234683281,0.0389797507788162,0.06133177570093458,0.024065420560747664
322,00:00:10.744,0.020223260643821392,0.020716510903426792,0.03995327102803738,0.0
323,00:00:10.777,0.01050103842159917,0.012149532710280374,0.019353582554517135,0.0
324,00:00:10.811,0.03482606438213915,0.032281931464174456,0.0661214953271028,0.006074766355140187
325,00:00:10.844,0.0345404984423676,0.03119158878504673,0.060669781931464176,0.0117601246105919
326,00:00:10.878,0.023117860851505707,0.022585669781931463,0.04478193146417445,0.001985981308411215
327,00:00:10.911,0.021547248182762203,0.023442367601246107,0.034813084112149534,0.006386292834890965
328,00:00:10.944,0.026414849428868122,0.03189252336448598,0.03590342679127726,0.011448598130841122
329,00:00:10.978,0.006516095534787124,0.010046728971962618,0.009501557632398754,0.0
330,00:00:11.011,0.02201453790238837,0.02192367601246106,0.03582554517133956,0.008294392523364487
331,00:00:11.044,0.02232606438213915,0.027609034267912773,0.03220404984423676,0.0071651090342679125
332,00:00:11.078,0.026947040498442366,0.03586448598130841,0.03578660436137072,0.009190031152647975
333,00:00:11.111,0.029023883696780894,0.027725856697819316,0.04513239875389408,0.014213395638629283
334,00:00:11.144,0.019132917964693668,0.019431464174454828,0.0279595015576324,0.01000778816199377
335,00:00:11.178,0.009631360332294912,0.013512461059190031,0.015381619937694704,0.0
336,00:00:11.211,0.03421599169262721,0.03360591900311526,0.05280373831775701,0.016238317757009346
337,00:00:11.245,0.023727933541017654,0.02379283489096573,0.0389797507788162,0.008411214953271028
338,00:00:11.278,0.024922118380062308,0.028465732087227413,0.03590342679127726,0.010397196261682243
339,00:00:11.311,0.02470145379023884,0.023130841121495327,0.0448208722741433,0.006152647975077882
340,00:00:11.345,0.02542834890965732,0.021884735202492213,0.046300623052959504,0.00809968847352025
341,00:00:11.378,0.007982866043613708,0.012110591900311527,0.011838006230529595,0.0
342,00:00:11.411,0.019457424714434058,0.02367601246105919,0.025856697819314642,0.008839563862928349
343,00:00:11.445,0.03365784008307373,0.035124610591900314,0.049727414330218066,0.016121495327102803
344,00:00:11.478,0.030724299065420558,0.027141744548286606,0.0485202492211838,0.016510903426791276
345,00:00:11.512,0.017938733125649014,0.019003115264797508,0.034813084112149534,0.0
346,00:00:11.545,0.03357995846313603,0.034540498442367604,0.05475077881619938,0.011448598130841122
347,00:00:11.578,0.01252596053997923,0.013707165109034268,0.021845794392523366,0.0020249221183800624
